state,district,category,type,crimes,year
Johor,Johor Bahru Selatan,assault,murder,4,2020
Johor,Johor Bahru Selatan,assault,murder,5,2021
Johor,Johor Bahru Selatan,assault,murder,7,2022
Johor,Johor Bahru Selatan,assault,rape,42,2016
Johor,Johor Bahru Selatan,assault,rape,28,2017
Johor,Johor Bahru Selatan,assault,rape,24,2018
Johor,Johor Bahru Selatan,assault,rape,27,2019
Johor,Johor Bahru Selatan,assault,rape,17,2020
Johor,Johor Bahru Selatan,assault,rape,17,2021
Johor,Johor Bahru Selatan,assault,rape,26,2022
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,5,2016
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,0,2017
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,1,2018
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,0,2019
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,0,2020
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,0,2021
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,0,2022
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,506,2016
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,528,2017
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,217,2018
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,192,2019
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,44,2020
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,39,2021
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,68,2022
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2,2016
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,0,2017
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,0,2018
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,1,2019
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,0,2020
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,0,2021
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,0,2022
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,207,2016
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,207,2017
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,108,2018
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,73,2019
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,94,2020
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,27,2021
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,67,2022
Johor,Johor Bahru Selatan,property,all,2802,2016
Johor,Johor Bahru Selatan,property,all,2275,2017
Johor,Johor Bahru Selatan,property,all,2042,2018
Johor,Johor Bahru Selatan,property,all,1766,2019
Johor,Johor Bahru Selatan,property,all,1265,2020
Johor,Johor Bahru Selatan,property,all,609,2021
Johor,Johor Bahru Selatan,property,all,733,2022
Johor,Johor Bahru Selatan,property,break_in,432,2016
Johor,Johor Bahru Selatan,property,break_in,263,2017
Johor,Johor Bahru Selatan,property,break_in,220,2018
Johor,Johor Bahru Selatan,property,break_in,283,2019
Johor,Johor Bahru Selatan,property,break_in,287,2020
Johor,Johor Bahru Selatan,property,break_in,191,2021
Johor,Johor Bahru Selatan,property,break_in,154,2022
Johor,Johor Bahru Selatan,property,theft_other,658,2016
Johor,Johor Bahru Selatan,property,theft_other,658,2017
Johor,Johor Bahru Selatan,property,theft_other,539,2018
Johor,Johor Bahru Selatan,property,theft_other,430,2019
Johor,Johor Bahru Selatan,property,theft_other,315,2020
Johor,Johor Bahru Selatan,property,theft_other,142,2021
Johor,Johor Bahru Selatan,property,theft_other,253,2022
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,87,2016
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,65,2017
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,55,2018
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,37,2019
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,16,2020
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,10,2021
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,5,2022
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,514,2016
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,344,2017
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,317,2018
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,283,2019
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,205,2020
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,89,2021
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,93,2022
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,1111,2016
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,945,2017
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,911,2018
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,733,2019
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,442,2020
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,177,2021
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,228,2022
Johor,Johor Bahru Utara,assault,all,528,2016
Johor,Johor Bahru Utara,assault,all,412,2017
Johor,Johor Bahru Utara,assault,all,343,2018
Johor,Johor Bahru Utara,assault,all,397,2019
Johor,Johor Bahru Utara,assault,all,246,2020
Johor,Johor Bahru Utara,assault,all,162,2021
Johor,Johor Bahru Utara,assault,all,148,2022
Johor,Johor Bahru Utara,assault,causing_injury,129,2016
Johor,Johor Bahru Utara,assault,causing_injury,96,2017
Johor,Johor Bahru Utara,assault,causing_injury,102,2018
Johor,Johor Bahru Utara,assault,causing_injury,140,2019
Johor,Johor Bahru Utara,assault,causing_injury,83,2020
Johor,Johor Bahru Utara,assault,causing_injury,57,2021
Johor,Johor Bahru Utara,assault,causing_injury,53,2022
Johor,Johor Bahru Utara,assault,murder,7,2016
Johor,Johor Bahru Utara,assault,murder,8,2017
Johor,Johor Bahru Utara,assault,murder,5,2018
Johor,Johor Bahru Utara,assault,murder,1,2019
Johor,Johor Bahru Utara,assault,murder,3,2020
Johor,Johor Bahru Utara,assault,murder,0,2021
Johor,Johor Bahru Utara,assault,murder,4,2022
Johor,Johor Bahru Utara,assault,rape,23,2016
Johor,Johor Bahru Utara,assault,rape,16,2017
Johor,Johor Bahru Utara,assault,rape,19,2018
Johor,Johor Bahru Utara,assault,rape,23,2019
Johor,Johor Bahru Utara,assault,rape,17,2020
Johor,Johor Bahru Utara,assault,rape,19,2021
Johor,Johor Bahru Utara,assault,rape,10,2022
Johor,Johor Bahru Utara,assault,robbery_gang_armed,0,2016
Johor,Johor Bahru Utara,assault,robbery_gang_armed,1,2017
